tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_rdm,P_neg_lag1_rdm,P_neutral_lag1_rdm,net_sentiment_lag1_rdm,P_neg_change_lag1_rdm,P_pos_change_lag1_rdm,net_sent_change_lag1_rdm,P_neg_roll3_mean_lag1_rdm,P_neg_roll3_std_lag1_rdm,P_neg_slope4_lag1_rdm,P_pos_lag2_rdm,P_neg_lag2_rdm,P_neutral_lag2_rdm,net_sentiment_lag2_rdm,P_neg_change_lag2_rdm,P_pos_change_lag2_rdm,net_sent_change_lag2_rdm,P_neg_roll3_mean_lag2_rdm,P_neg_roll3_std_lag2_rdm,P_neg_slope4_lag2_rdm
0.005877615,0.0,0.0,-0.4792158,0.32482892,0.07144571,-0.1666897,-0.019845285,0.043805555,-0.0027831106,-0.60425663,-0.5055535,-0.009916918,-0.69212687,-0.1633235,-0.031664558,-0.3333872,-0.0008144094,-0.38854298,-0.010943234,-0.007275651,-0.008442134,0.045159914,-0.33486617,-0.006822321,0.0034453347,-0.1956746,0.101451874,-0.13087127,-0.23438868,-0.00683208,0.0,0.0,-1.635264,-0.17930907,-0.01619319,0.10507279,-0.42929024,-0.0019809995,-1.2662203,0.69823307,-0.051667668,0.0,0.22230431,0.0,0.0,0.025952544,-0.00022293709,0.0,-0.10724774,-0.041166484,-0.03164109,-0.08374222,-0.052968454,-0.07425387,0.0251319,0.018428015,0.0026029474,0.0,-0.0018100786,0.0
0.0016640015,0.0,0.0,-0.4266869,-0.8698898,0.048077554,-0.18135443,-0.04313225,-0.026690552,-0.0013584122,-0.5468965,-0.74051905,-0.013224944,-0.48146677,0.0125353495,-0.010282104,-0.32336324,-0.002492165,0.24225026,-0.03116097,-0.007275651,-0.008442134,0.06712064,0.038140044,-0.014530249,-0.012673276,-0.19063222,0.101892605,-0.13758162,-0.109451905,-0.019534145,0.0,0.0,0.22375046,-0.15547915,-0.012855856,0.076904714,-0.26387846,-0.0019809995,-0.8999934,-2.24126,-0.014676571,0.0,0.057933886,0.0,0.0,0.006634303,0.0009153518,0.0,-0.06167387,0.0784236,-0.03196219,0.0128706265,-0.046945054,-0.0134529155,-0.015335747,0.014910354,0.009321772,0.0,-0.00085498113,0.0
0.0006840653,0.0,0.0,-0.015912868,-0.9547116,0.06374496,-0.19324858,-0.04313225,-0.024898855,-0.002357933,-0.6171245,-0.5700277,-0.013224944,-0.40278798,-0.0077486006,0.004251516,-0.32240528,-0.0013412805,0.22081052,-0.03116097,-0.007275651,-0.008442134,0.050948814,0.02929242,-0.021579992,-0.012673276,-0.1798946,0.097971395,-0.13458905,-0.0089106,-0.019534145,0.0,0.0,-0.2390178,0.06872309,-0.018381447,-0.53015345,-0.23214734,0.032174148,-0.7864213,-2.0807016,-0.014676571,0.0,-0.03454068,0.0,0.0,-0.014615018,-0.0006143737,0.0,-0.079821736,-0.03983094,-0.03164202,0.048725247,-0.046945054,-0.0134529155,0.027074583,-0.017048258,-0.016163256,0.0,-0.00085498113,0.0
0.0017575263,0.0,0.0,-0.5192633,-1.953376,0.054266177,-0.28477728,-0.019421758,0.045050226,-0.002357933,0.15872009,-0.7395253,-0.009916918,-0.58279604,-0.009233762,-0.006174762,-0.42583266,-0.0005808475,0.40856767,-0.03116097,-0.007275651,-0.008442134,0.03325371,0.057955462,-0.017708525,-0.09073291,-0.17896011,0.11041014,-0.14377314,0.060401,-0.019534145,0.0,0.0,-0.25779936,-0.1648386,-0.032263752,-0.7630711,-0.36045665,0.02721032,-0.9149008,0.59404427,-0.014676571,0.0,-0.05166667,0.0,0.0,-0.030862173,-0.00022293709,0.0,-0.15159322,-0.03567914,0.036691226,-0.040235415,0.020119565,-0.020515643,0.06323101,-0.017048258,0.027331747,0.0,-0.00085498113,0.0
0.001463946,0.0,0.0,-0.5192633,-1.953376,0.054266177,-0.28477728,-0.019421758,0.045050226,-0.002357933,0.13826972,-0.75363684,-0.009916918,-0.606802,0.001111018,-0.00062223955,-0.42583266,-0.0005808475,0.37452412,-0.03116097,-0.007275651,-0.008442134,0.03325371,0.059345834,-0.017708525,-0.09073291,-0.17896011,0.11041014,-0.14377314,0.025649317,-0.019534145,0.0,0.0,-0.27945837,-0.1637154,-0.032263752,-0.76344556,-0.37553644,0.02721032,-0.9150202,0.5962475,-0.014676571,0.0,-0.05166667,0.0,0.0,0.0031655147,-0.00022293709,0.0,-0.14945574,-0.03567914,-0.016175319,-0.026453841,0.014374604,-0.020515643,-0.08378652,0.0038410167,0.03454832,0.0,-0.00085498113,0.0
0.0006840653,0.0,0.0,-0.3549353,-0.8846309,0.045103535,-0.19324858,-0.04313225,-0.09286366,-0.0013584122,-0.6356026,-0.60280854,-0.013224944,-0.39791793,-0.004467614,-0.005990669,-0.32240528,-0.0013412805,0.2868561,-0.03116097,-0.007275651,-0.008442134,0.050948814,0.028848473,-0.021579992,-0.05847598,-0.1850214,0.10279164,-0.1318888,-0.0039132796,-0.019534145,0.0,0.0,-0.2699491,-0.05601906,-0.025561795,-0.4498557,-0.2649544,0.02721032,-0.75618434,-1.858907,-0.014676571,0.0,0.05988257,0.0,0.0,-0.03369679,0.0009153518,0.0,-0.05918855,-0.043151718,-0.03164202,-0.032238014,-0.046945054,-0.0134529155,0.02752465,0.010437839,0.014571429,0.0,-0.00085498113,0.0
0.004011695,0.0,0.0,-0.35485238,-0.8771952,0.045103535,-0.15490673,-0.041010477,-0.099703416,-0.007975809,-0.5415725,-0.4052873,-0.0069051003,-0.39383525,-0.065572076,-0.03675393,-0.29824746,-0.0013412805,-0.35677412,-0.010943234,-0.007275651,-0.008442134,0.044395268,0.028848473,-0.01201961,-0.05847598,-0.18171772,-0.15218155,-0.13292,-0.018525261,-0.00683208,0.0,0.0,-0.24383684,-0.053933874,-0.028779335,-0.44764566,-0.34067574,0.032174148,-0.7415966,-1.7086091,-0.051667668,0.0,-0.10132933,0.0,0.0,-0.0413837,-0.0006143737,0.0,-0.10356374,0.07659811,-0.03164202,0.12025286,-0.055241037,-0.03686745,-0.05674323,-0.0012247749,-0.016163256,0.0,0.0013220506,0.0
0.005214888,0.0,0.0,-0.49301437,-1.5251948,0.049646385,-0.17551765,-0.06910395,0.004237193,-0.007975809,0.19898404,-0.5794752,-0.0035970747,-0.4729576,-0.11066952,-0.005582015,-0.34118086,-0.0005808475,-0.43072462,-0.010943234,-0.007275651,-0.008442134,0.02670017,0.05781721,-0.006733293,-0.09073291,-0.18046649,-0.15218155,-0.13855398,0.060401,-0.00683208,0.0,0.0,-0.30127236,-0.08996219,-0.023245966,-0.6440535,-0.4156255,-0.027874723,-0.8838154,-0.32191503,-0.051667668,0.0,-0.13261127,0.0,0.0,-0.0413837,-0.0006143737,0.0,-0.18728875,-0.04050114,-0.03164202,-0.092194885,-0.055455495,-0.07425387,0.06161616,-0.0012247749,0.03454832,0.0,-0.0018100786,0.0
0.0055251927,0.0,0.0,-0.53653675,0.19640464,-0.11844091,0.0029870807,-0.046638407,0.0033427398,0.010235952,-0.67595315,-0.49228212,-0.0019232538,0.20755121,-0.01747289,-0.0087960595,-0.19126658,-0.010351734,-0.49653077,-0.010943234,-0.007275651,-0.008442134,-0.28086907,-0.10508339,0.0052130846,0.0048747873,0.20030266,0.030247206,0.10742155,-0.08012881,-0.00683208,0.0,0.0,-1.2179589,-0.2649551,0.011605637,0.10015256,0.27858156,-0.0019809995,-0.033998348,-2.7964303,-0.051667668,0.0,-0.113730416,0.0,0.0,-0.014629183,0.0009153518,0.0,-0.10930511,-0.040898733,-0.0067436732,-0.11481067,-0.054703515,-0.020976486,0.016255148,0.016884897,-0.0021934328,0.0,-0.0018100786,0.0
0.0054149437,0.0,0.0,0.13438092,0.21594717,-0.12985131,0.0026249844,-0.028538235,-0.024137782,0.0035717743,-0.7865204,-0.34235308,-0.0030780097,-0.25969726,-0.0033393698,-0.006946693,-0.2805991,-0.010351734,-0.45949858,-0.010943234,-0.007275651,-0.0026096853,-0.30716014,-0.105422765,0.0052130846,0.0048747873,0.23233941,-0.04602653,0.09649861,0.01865188,-0.00683208,0.0,0.0,-1.2321919,-0.3601484,0.011605637,0.10124997,0.3409876,-0.0019809995,0.48835993,-3.0132895,-0.051667668,0.0,0.16523527,0.0,0.0,0.017557833,-0.0006143737,0.0,-0.11935223,-0.040898733,0.00033754227,-0.09611844,0.01015471,-0.020976486,-0.03204938,-0.015870586,-0.015481688,0.0,-0.0018100786,0.0
