tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_gr_roll3_mean_lag1_dm,tloans_gr_roll3_std_lag1_dm,tloans_slope4_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_rdm,P_neg_lag1_rdm,P_neutral_lag1_rdm,net_sentiment_lag1_rdm,P_neg_change_lag1_rdm,P_pos_change_lag1_rdm,net_sent_change_lag1_rdm,P_neg_roll3_mean_lag1_rdm,P_neg_roll3_std_lag1_rdm,P_neg_slope4_lag1_rdm,P_pos_lag2_rdm,P_neg_lag2_rdm,P_neutral_lag2_rdm,net_sentiment_lag2_rdm,P_neg_change_lag2_rdm,P_pos_change_lag2_rdm,net_sent_change_lag2_rdm,P_neg_roll3_mean_lag2_rdm,P_neg_roll3_std_lag2_rdm,P_neg_slope4_lag2_rdm
-0.018138437,0.0,0.0028444985,-0.28940403,-0.08520201,-0.027756697,0.0327337,-0.14083803,0.028060008,-0.015081488,-0.2758225,-0.06917508,-0.15980673,-0.2939066,-1.3564168,-0.33181167,-0.01917544,-0.37163404,0.22924334,-0.012514547,0.007839667,0.0,-0.066295564,0.035505872,0.0,0.043198194,-0.10254371,0.013233958,-0.23926973,-0.7020868,-0.022148054,-0.008305209,0.0,-0.041003577,-0.052223213,-0.17619893,-0.06234869,-0.0025057537,0.0,-0.25857604,-1.2634721,0.013463368,0.0072592124,0.23684512,-0.008824277,0.034515638,0.040673275,0.011134991,-0.00521679,-0.037712645,-0.25095978,-0.011091425,-0.013291011,-0.51902777,-0.019741837,-0.019579839,0.3477072,-0.04567071,0.07376368,-0.04848532,-0.016815545
-0.029719165,0.0,0.0023711473,-0.15306006,-0.11623419,-0.011450626,0.034908634,-0.048012845,0.056850165,-0.013384664,0.21151905,-0.06341544,-0.39281386,-0.25711107,-0.021447785,-0.1812403,-0.016721254,0.014780993,0.33613184,-0.012514547,0.007839667,0.0,-0.05307567,-0.022517685,0.0,0.039638862,-0.093753114,0.07282817,-0.26019496,-0.77595115,-0.05466567,-0.0050484445,0.0,-0.11998718,-0.025847604,-0.16310628,-0.0988252,-0.0025057537,0.0,-0.1891781,-4.2048473,-0.013953291,0.01580044,0.2463498,-0.025779907,0.032830793,-0.055087008,0.011134991,0.019744068,-0.036000777,0.2121438,-0.03369856,-0.005267038,-0.44404072,-0.052232627,0.0075197597,-0.22570753,-0.048517577,-0.06827209,-0.1152843,-0.047172733
-0.029719165,0.0,0.0015284282,-0.16247536,-0.11797988,-0.012825325,0.03703039,-0.028628908,0.04985012,-0.013384664,0.19573869,-0.049590282,-0.38885733,-0.21652572,-0.0837233,-0.19794764,-0.016721254,0.011622329,0.29592517,-0.012514547,0.007839667,0.0,-0.05307567,-0.023050569,0.0,0.03921291,-0.07222492,0.07174982,-0.28559217,-0.86090213,-0.05466567,-0.0050484445,0.0,-0.1764584,-0.030047506,-0.14612117,-0.0988252,-0.0025057537,0.0,-0.18486878,-4.1686125,-0.016968718,-0.018098814,-0.20031655,-0.0115648825,-0.017812382,-0.06716542,-0.03626174,0.022824567,0.0158859,-0.102418624,-0.03369856,0.02552419,-0.60708874,-0.15260184,0.018038996,-0.20311268,-0.048517577,-0.06827209,-0.13764967,-0.05232308
-0.014655061,0.0,0.0023711473,-0.1451829,-0.11797988,-0.011450626,0.021975633,-0.048012845,0.09678382,-0.013384664,0.26608062,-0.09226187,-0.36663267,-0.21532983,-0.07252837,-0.1902586,-0.014643988,-0.433186,0.26968834,-0.012514547,0.007839667,0.0,-0.07102567,-0.023050569,0.0,0.0592997,-0.09499596,0.07174982,-0.29142138,-0.80488485,-0.022148054,-0.0050484445,0.0,-0.14507602,-0.030047506,-0.12233113,-0.0988252,-0.0025057537,0.0,-0.18486878,-3.7636843,-0.011907445,-0.0028233808,-0.2003005,0.0020162226,0.012846032,-0.009611171,0.011134991,0.04174534,-0.007477217,-0.10461032,-0.0004154751,-0.013291011,0.041669868,-0.08007751,-0.020625895,-0.21202677,-0.043179076,-0.1012394,-0.08871273,-0.06367882
-0.014655061,0.0,0.0028444985,-0.25541946,-0.12316373,-0.027756697,-0.018983822,-0.13077636,0.023109224,-0.013384664,0.4511204,-0.09222909,-0.37900123,-0.243972,0.01582632,-0.21776792,-0.019703887,-0.081666715,0.30986848,-0.012514547,0.007839667,0.0,-0.076618105,-0.039276835,0.0,0.062367477,-0.09095049,0.07665864,-0.22246672,-0.9666719,-0.05466567,-0.008305209,0.0,-0.1495724,-0.06946183,-0.15284453,-0.09273255,-0.0025057537,0.0,-0.19015002,-2.3011053,0.013119742,-0.023092303,-0.19257699,0.008660195,-0.013013298,0.040673275,-0.013129631,0.026489727,-0.01757181,-0.10610921,-0.03369856,-0.013291011,0.15634368,-0.10697448,0.008023201,-0.2263561,-0.044479497,-0.09999655,-0.12827568,-0.10010543
-0.029719165,0.0,0.0021632377,-0.1561069,-0.11797988,0.04050314,-0.03169974,-0.009640502,0.05042033,-0.015081488,0.19743413,-0.06320255,-0.19483823,-0.28787002,-0.055700786,-0.16332977,-0.016721254,0.011367706,0.28958657,-0.012514547,0.007839667,0.0,-0.05307567,-0.019615484,0.0,0.02399588,-0.093753114,0.07282817,-0.17952995,-0.7237525,-0.022148054,-0.0050484445,0.0,-0.17681335,-0.04705935,-0.14670868,-0.0988252,-0.0025057537,0.0,-0.1891781,-4.1931863,-0.012142624,0.012678012,0.26212552,-0.025779907,0.029661663,-0.055087008,0.011134991,-0.005410057,-0.026612822,-0.25317296,-0.011091425,-0.013291011,-0.47527358,0.14574665,-0.020625895,0.30967394,-0.04215459,-0.06827209,-0.044212494,-0.04689359
-0.029994102,0.0,0.0021632377,-0.16283973,-0.11719596,0.04050314,-0.04968274,-0.009640502,-0.07584532,-0.013384664,0.18062398,-0.063039556,-0.30378357,-0.22266231,-0.97121763,-0.1902586,-0.014415632,-0.02553002,0.32368138,-0.012514547,0.007839667,0.0,-0.05307567,-0.022517685,0.0,0.024685629,-0.12156694,0.011718212,-0.21124522,-0.8448197,-0.05466567,-0.0050484445,0.0,-0.1764584,-0.05030542,-0.18811218,-0.1909029,-0.008212237,0.0,-0.1891781,-3.0618203,-0.020308819,-0.0017127472,-0.19984478,-0.0115648825,-0.017812382,-0.05341468,0.011134991,0.02195321,-0.024276964,0.21039039,-0.03369856,0.02552419,-0.61302483,-0.15260184,0.0075197597,-0.14402127,-0.04521525,0.07376368,0.14251542,-0.04537402
-0.029994102,0.0,0.0021632377,-0.2006146,-0.11719596,-0.012825325,-0.2261073,-0.032434873,-0.14703259,-0.013384664,0.24673699,-0.068652764,-0.34066182,-0.22231096,-0.8240557,-0.2033116,-0.013829065,-0.3719995,0.25374687,-0.012514547,0.007839667,0.0,-0.061962318,-0.023050569,0.0,0.025897585,-0.111216545,0.07422955,-0.20204924,-0.7901708,-0.022148054,-0.0050484445,0.0,-0.2034799,-0.062335774,-0.14543314,-0.1909029,-0.008212237,0.0,-0.24898553,-2.4985342,-0.017404787,-0.018098814,-0.20172223,0.032356527,-0.017812382,-0.05341468,-0.03626174,0.02195321,-0.009963348,-0.10327045,-0.03369856,-0.013291011,-0.5655065,-0.09601978,-0.020625895,-0.2234134,-0.043179076,-0.065673284,-0.12635325,-0.04537402
-0.039945,0.0,0.0034028012,0.1717024,-0.08968075,-0.032156073,0.03655119,0.018868543,-0.08508592,-0.008369703,-0.034490645,-0.05170808,-0.25780964,-0.18503752,0.031375043,-0.198383,-0.01358667,0.009157018,-0.84827995,-0.012514547,0.0024950996,0.0,0.10523709,0.008273822,0.0,0.049491048,0.14163375,-0.009282868,-0.12802996,-0.67584765,-0.022148054,-0.003233947,0.0,0.1956912,-0.004844103,0.12108965,0.2075996,0.010809245,0.0,-0.06329719,-3.5375826,-0.018980356,-0.011010371,-0.23786032,-0.025779907,0.032830793,-0.047012925,0.0095861405,0.022674765,0.0053375,-0.16695312,-0.011091425,-0.021960668,-0.48592865,0.10402507,-0.019211546,0.28345636,0.1658895,-0.10536918,-0.074617855,-0.15080915
-0.027972583,0.0,0.0034028012,-0.026616974,-0.0882615,-0.033030234,0.0334405,0.018868543,-0.10238243,-0.008369703,0.09325357,-0.09795679,-0.32667372,-0.24835941,-0.027225116,-0.19882241,-0.013138183,-0.27740005,-0.7122079,-0.012514547,0.007839667,0.0,0.10523709,0.0087291375,0.0,0.0453971,0.13976403,-0.0978766,-0.15008987,-0.5356541,-0.05466567,-0.003233947,0.0,-0.06434497,-0.011820152,0.18002486,0.20727164,0.010809245,0.0,-0.043686006,-3.492395,0.018465042,-0.011010371,0.20572318,0.008660195,-0.013013298,0.06465341,-0.02503233,0.04467604,-0.034113195,-0.1551947,0.04048668,-0.021960668,0.060722385,-0.13951898,0.008934109,-0.20383035,-0.04771148,-0.14253679,-0.104073465,-0.20830877
