year,country,iso,ifs,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisjst,crisisjst_old,peg,peg_strict,peg_type,peg_base,jsttrilemmaiv,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,P_pos,P_neg,P_neutral,n_speeches,net_sentiment,P_neg_change,P_pos_change,net_sent_change,P_neg_roll3_mean,P_neg_roll3_std,net_sentiment_roll3_mean,net_sentiment_roll3_std,P_neg_slope4,net_sent_slope4,P_pos_lag1,P_pos_lag2,P_neg_lag1,P_neg_lag2,P_neutral_lag1,P_neutral_lag2,net_sentiment_lag1,net_sentiment_lag2,P_neg_change_lag1,P_neg_change_lag2,P_pos_change_lag1,P_pos_change_lag2,net_sent_change_lag1,net_sent_change_lag2,P_neg_roll3_mean_lag1,P_neg_roll3_mean_lag2,P_neg_roll3_std_lag1,P_neg_roll3_std_lag2,P_neg_slope4_lag1,P_neg_slope4_lag2,net_sent_slope4_lag1,net_sent_slope4_lag2
2004,Portugal,PRT,182,10524.145,14138.59741641843,99.42334007000446,98.0506,30523063.7288,0.23393992056262453,183.406794044762,-2224611.0368255437,10847078.61,8444831.11248,9992022.88,26092531.818,2.10633333333333,4.14333,196.82082272535325,6.3166,239.0515387420623,0.6709950000000001,6269673.586,8365712.896,147.18596285147933,34743731.0,14201142.0,18125778.0,16617953.0,34980892.0,6.574883460998535,137.11209106445312,57.94709777832031,0.0,0.0,1.0,1.0,PEG,DEU,-0.23596126,0.1799686998128891,0.22451797127723694,0.10716212540864944,0.02106333337724209,,,0.19248685240745544,0.032031115144491196,0.02686076983809471,,,,,,0.04143330082297325,,0.18659208714962006,0.2179783433675766,0.06411273032426834,0.352836,0.105756,0.541409,1.0,0.24708,-0.11749264705882352,0.12239082352941175,0.23988347058823528,0.22704486274509803,0.01922892495437029,-0.015342666666666666,0.039143460693454,-0.04131468235294114,0.09227442352941177,0.23044517647058824,0.2173144117647059,0.22324864705882352,0.20999717647058821,0.5463060000000001,0.5726884705882354,0.007196529411764705,0.007317058823529406,0.013251470588235309,-0.03789158823529412,0.013130764705882342,0.029966999999999994,-0.00012052941176470076,0.06785864705882352,0.20065466666666665,0.19444180784313725,0.05253215711376578,0.0519739866846972,0.019962017647058856,0.01597264352941177,-0.02504298823529413,-0.019402671764705868
2005,Portugal,PRT,182,10566.212,14191.465057007197,100.0,99.6516,31786962.401400004,0.23270440251572327,187.3131614710499,-3218199.2542785276,11398805.074,8609234.37176,11265284.062,27711624.45,2.18468333333333,3.4375,201.29073860990243,7.5817,246.78097939422398,0.722491,6567990.802,8516475.36,169.94320589980504,37388088.0,15885592.0,20008304.0,17379784.0,36326400.0,6.438308238983154,133.0977783203125,55.457672119140625,0.0,0.0,1.0,1.0,PEG,DEU,0.03646125,0.1718716323375702,0.16780133545398712,0.0649326890707016,0.0218468327075243,,,0.14016875624656677,0.027632582932710648,0.024235520511865616,0.13916920125484467,0.028707269579172134,,,,0.03437500074505806,0.03270243853330612,0.14152464270591736,0.168437197804451,0.043389759957790375,0.352836,0.105756,0.541409,,0.24708,0.0,0.0,0.0,0.1796672745098039,0.06435105083007898,0.08719786274509804,0.1384620055890108,-0.04302161764705877,0.0959172294117647,0.352836,0.23044517647058824,0.105756,0.22324864705882352,0.541409,0.5463060000000001,0.24708,0.007196529411764705,-0.11749264705882352,0.013251470588235309,0.12239082352941175,0.013130764705882342,0.23988347058823528,-0.00012052941176470076,0.22704486274509803,0.20065466666666665,0.01922892495437029,0.05253215711376578,-0.04131468235294114,0.019962017647058856,0.09227442352941177,-0.02504298823529413
2006,Portugal,PRT,182,10605.87,14343.162795697099,101.44193641280488,100.0,33332237.561,0.22289156626506024,193.01742028838407,-3250985.8424919457,12717375.188,10118800.278966,11638581.546,28717242.162,3.079225,3.915,205.5335456027503,7.6474,249.96543608475727,0.7367940000000001,7166429.572,8633757.33,152.22627182991647,41466292.0,18362346.0,23050818.0,18415474.0,38683376.0,6.5072407722473145,137.6216278076172,56.65263366699219,0.0,0.0,1.0,1.0,PEG,DEU,0.65260124,0.33271774649620056,0.11012901365756989,-0.004635931923985481,0.030792249366641045,,,0.08515482395887375,0.024974189698696136,0.023014402016997337,0.29249635338783264,0.031119171530008316,,,,0.03914999961853027,0.04022141546010971,0.12425557523965836,0.15425795316696167,0.013078158721327782,0.352836,0.105756,0.541409,0.0,0.24708,0.0,0.0,0.0,0.1449202156862745,0.06783441140721348,0.1671188431372549,0.13849678631825932,-0.03524779411764708,0.07196504117647061,0.352836,0.352836,0.105756,0.105756,0.541409,0.541409,0.24708,0.24708,0.0,-0.11749264705882352,0.0,0.12239082352941175,0.0,0.23988347058823528,0.1796672745098039,0.22704486274509803,0.06435105083007898,0.01922892495437029,-0.04302161764705877,-0.04131468235294114,0.0959172294117647,0.09227442352941177
2007,Portugal,PRT,182,10642.836,14631.417929800693,103.78073311884613,101.1879,35181262.9988,0.22285714285714286,197.69368767774773,-3163979.3706630394,13633419.547220001,10974508.176912,11323223.36,30987500.33,4.27760833333333,4.42417,206.4677889926085,7.9637,260.15000951836043,0.7272799999999999,7849271.264,9192901.628,136.1877589837646,45887924.0,20165482.0,25516948.0,20370976.0,43694980.0,6.216100215911865,141.38119506835938,57.41265869140625,0.0,0.0,1.0,1.0,PEG,DEU,0.89542246,0.1831146776676178,0.04741806536912918,0.015394825488328934,0.04277608171105385,,,0.02378576435148716,0.023632299154996872,0.023083247244358063,0.15014411509037018,0.028666462749242783,,,,0.04424170032143593,0.03297056257724762,0.06704200059175491,0.07717996090650558,0.02908545359969139,0.352836,0.105756,0.541409,,0.24708,0.0,0.0,0.0,0.105756,0.0,0.24708,0.0,-3.876493421173405e-18,1.97250328449811e-17,0.352836,0.352836,0.105756,0.105756,0.541409,0.541409,0.24708,0.24708,0.0,0.0,0.0,0.0,0.0,0.0,0.1449202156862745,0.1796672745098039,0.06783441140721348,0.06435105083007898,-0.03524779411764708,-0.04302161764705877,0.07196504117647061,0.0959172294117647
2008,Portugal,PRT,182,10676.91,14583.489043178224,103.96203862931281,102.6532,35906887.5496,0.22905027932960895,202.9364439603973,-4498936.563099426,14655273.895436,11224879.320683999,10898402.002,33525401.968,4.63423333333333,4.5225,193.439997202188,7.5517,266.53390059552345,0.756425,8127339.798,9247633.214,144.05547172522807,49796320.0,20943352.0,26578700.0,23217620.0,48021968.0,5.129000186920166,137.39796447753906,56.933353424072266,1.0,1.0,1.0,1.0,PEG,DEU,-0.035735,-0.4971774220466614,0.05262498930096626,0.09922552108764648,0.046342331916093826,,,0.02884218655526638,0.023782802745699883,0.023116083815693855,-0.5128112435340881,0.03208983689546585,,,,0.04522499814629555,0.015633808448910713,0.008680683560669422,-0.011020384728908539,0.072783924639225,0.352836,0.105756,0.541409,,0.24708,0.0,0.0,0.0,0.105756,0.0,0.24708,0.0,-3.876493421173405e-18,1.97250328449811e-17,0.352836,0.352836,0.105756,0.105756,0.541409,0.541409,0.24708,0.24708,0.0,0.0,0.0,0.0,0.0,0.0,0.105756,0.1449202156862745,0.0,0.06783441140721348,-3.876493421173405e-18,-0.03524779411764708,1.97250328449811e-17,0.07196504117647061
2009,Portugal,PRT,182,10708.0,14118.34417888815,100.6202932851336,101.5833,35167830.7048,0.21142857142857144,201.10355711648393,-3496199.6672048406,12027031.660042,9598619.256702,10922058.878,31654904.908,1.22835833333333,4.21083,193.85716034199777,9.4319,273.5104231246791,0.877991,6894575.9799999995,9778108.586,139.1656254338469,51278082.0,22019940.0,27659900.0,23618182.0,49838092.0,6.036499977111816,133.3400115966797,57.11309814453125,0.0,0.0,1.0,1.0,PEG,DEU,-2.7934349,0.399630606174469,-0.05472740903496742,0.052625346928834915,0.012283583171665668,,,-0.07846579700708389,0.02373838797211647,0.025759639218449593,0.3485449254512787,0.03788206726312637,,,,0.04210830107331276,0.05108566954731941,0.020033234730362892,0.01581433042883873,0.032454464584589005,0.352836,0.105756,0.541409,,0.24708,0.0,0.0,0.0,0.105756,0.0,0.24708,0.0,-3.876493421173405e-18,1.97250328449811e-17,0.352836,0.352836,0.105756,0.105756,0.541409,0.541409,0.24708,0.24708,0.0,0.0,0.0,0.0,0.0,0.0,0.105756,0.105756,0.0,0.0,-3.876493421173405e-18,-3.876493421173405e-18,1.97250328449811e-17,1.97250328449811e-17
2010,Portugal,PRT,182,10713.066237698715,14279.047520578404,102.32171043483542,103.9710737426447,36008732.4056,0.20555555555555555,203.90100613004623,-3661724.063449045,13580326.90157,10827575.72104,10728192.784,31852580.16,0.810958333333333,5.39583,195.34924406661005,10.7699,277.37589927739674,1.002145,7181265.24,10137372.33,150.03891632989072,51290514.0,22775558.0,28310064.0,22980450.0,51943052.0,6.209400177001953,123.86885833740234,56.83582305908203,0.0,0.0,1.0,1.0,PEG,DEU,-0.2121875,-0.06211366131901741,0.04543318971991539,-0.1244320198893547,0.008109583519399166,,,0.019134996458888054,0.026298193261027336,0.02580442652106285,-0.10091836750507355,0.04316037893295288,,,,0.05395830050110817,0.03880470246076584,0.005202730186283588,0.03020535595715046,-0.05816121771931648,0.130155,0.122,0.747845,2.0,0.008155,0.016243999999999995,-0.222681,-0.238925,0.105756,0.0,0.24708,0.0,0.004873199999999996,-0.07167749999999996,0.352836,0.352836,0.105756,0.105756,0.541409,0.541409,0.24708,0.24708,0.0,0.0,0.0,0.0,0.0,0.0,0.105756,0.105756,0.0,0.0,-3.876493421173405e-18,-3.876493421173405e-18,1.97250328449811e-17,1.97250328449811e-17
2011,Portugal,PRT,182,10697.867524602574,14038.770273377344,100.7342214826734,96.84012813133639,35304118.3684,0.18181818181818182,211.14943930514033,-2280463.931126526,13643162.170491999,12163983.119544001,10042143.38,31243515.844,1.3906,10.2408,185.76897470403313,12.6772,275.29447253959125,1.144031,8312986.13,9768685.932,154.9439678491383,50804746.0,22659478.0,27988290.0,22816456.0,53310720.0,5.011300086975098,116.06709289550781,57.23625564575195,0.0,0.0,1.0,1.0,PEG,DEU,0.37260476,-0.20372962951660156,-0.10757111012935638,-0.3133552074432373,0.013906000182032585,,,-0.1336173117160797,0.02604619786143303,0.03006315603852272,-0.233046293258667,0.038224831223487854,,,,0.10240799933671951,0.029316676780581474,-0.1280696988105774,-0.11830047518014908,-0.14972460269927979,0.374351,0.027267,0.598382,2.0,0.347084,-0.094733,0.244196,0.338929,0.11117066666666668,0.009378477772716545,0.16743833333333336,0.13794341306613134,-0.021922300000000002,0.006108699999999983,0.130155,0.352836,0.122,0.105756,0.747845,0.541409,0.008155,0.24708,0.016243999999999995,0.0,-0.222681,0.0,-0.238925,0.0,0.105756,0.105756,0.0,0.0,0.004873199999999996,-3.876493421173405e-18,-0.07167749999999996,1.97250328449811e-17
2012,Portugal,PRT,182,10654.29788039364,13524.00842097281,97.03976228558075,92.06216401798352,33740238.4792,0.16071428571428573,217.0111776603764,-541387.8914699872,12913339.727094,12746389.94545,9592061.29,28487489.79,0.573183333333333,10.5475,172.63135933064856,15.5268,268.24984274985894,1.290351,7957331.062,9774499.91,151.94937092617857,47991382.0,21987462.0,26868398.0,21122984.0,52263252.0,6.5482001304626465,119.4756851196289,59.54528045654297,0.0,0.0,1.0,1.0,PEG,DEU,-0.48489609,0.07692946493625641,-0.010369526222348213,0.8112969994544983,0.005731833167374134,,,-0.04103526473045349,0.030665738508105278,0.03197796270251274,0.028249936178326607,0.04734211787581444,,,,0.10547500103712082,0.04867953062057495,0.14891518652439117,0.0009925276972353458,0.4085144102573395,0.201111,0.200791,0.598099,3.0,0.00032,0.173524,-0.17323999999999998,-0.346764,0.08500766666666666,0.05066019467326729,0.200773,0.174144969628755,0.01903719999999999,-0.04013509999999999,0.374351,0.130155,0.027267,0.122,0.598382,0.747845,0.347084,0.008155,-0.094733,0.016243999999999995,0.244196,-0.222681,0.338929,-0.238925,0.11117066666666668,0.105756,0.009378477772716545,0.0,-0.021922300000000002,0.004873199999999996,0.006108699999999983,-0.07167749999999996
2013,Portugal,PRT,182,10595.529523088568,13472.899062170522,96.6735358973982,91.6035754689965,34180637.2886,0.14705882352941177,217.96480375100435,540138.4434512188,13162253.366726002,13537753.345978,10119328.95,28859183.418,0.220666666666667,6.29417,169.37879874392524,16.1834,275.5221868243909,1.314298,8243017.912,9799760.641999999,145.37161917192373,45594418.0,21205984.0,25684752.0,19909666.0,52257364.0,6.342199802398682,111.3933334350586,55.8472785949707,0.0,0.0,1.0,1.0,PEG,DEU,-0.16583334,0.15601195394992828,0.01347966119647026,0.12234269082546234,0.0022066666278988123,,,-0.01889674738049507,0.03237640857696533,0.032999999821186066,0.11812454462051392,0.033884789794683456,,,,0.06294170022010803,0.037887416779994965,0.04550836607813835,0.035466745495796204,0.06227467954158783,0.383709,0.14389,0.4724,2.0,0.239818,-0.05690100000000001,0.182598,0.23949800000000002,0.116686,0.08688396624809439,0.11851966666666668,0.1979812810856959,0.02391939999999999,0.03482250000000001,0.201111,0.374351,0.200791,0.027267,0.598099,0.598382,0.00032,0.347084,0.173524,-0.094733,-0.17323999999999998,0.244196,-0.346764,0.338929,0.08500766666666666,0.11117066666666668,0.05066019467326729,0.009378477772716545,0.01903719999999999,-0.021922300000000002,-0.04013509999999999,0.006108699999999983
2014,Portugal,PRT,182,10538.787660862981,13653.006812250058,97.9661770638199,94.29145787843386,34694151.8834,0.15028901734104047,217.61703643813775,55859.561671504795,13900676.086959999,13952588.294594001,11024104.216,28959424.418,0.209933333333333,3.75416666666667,176.4741512154753,13.8941,271.39475810358675,1.329407,8269882.5,9714756.274,165.1280784119924,42134900.975999996,20381802.048,24796616.169999998,17338284.806,47273392.0,7.076300144195557,104.90010833740234,51.391849517822266,0.0,0.0,1.0,1.0,PEG,DEU,0.0075,-0.21121133863925934,0.07702606916427612,0.3433554768562317,0.002099333330988884,,,0.04250043258070946,0.034525640308856964,0.0331181064248085,-0.23124395310878754,0.026058489456772804,,,,0.03754166513681412,0.020032621920108795,0.09215225279331207,0.041665218770504,0.17272740602493286,0.147722,0.124669,0.727609,3.0,0.023053,-0.019220999999999988,-0.23598700000000003,-0.216765,0.12398266666666667,0.0884583013873392,0.19574066666666667,0.1775342964312342,0.02353050000000002,-0.07325950000000003,0.383709,0.201111,0.14389,0.200791,0.4724,0.598099,0.239818,0.00032,-0.05690100000000001,0.173524,0.182598,-0.17323999999999998,0.23949800000000002,-0.346764,0.116686,0.08500766666666666,0.08688396624809439,0.05066019467326729,0.02391939999999999,0.01903719999999999,0.03482250000000001,-0.04013509999999999
