tloans_gr,tmort_gr,money_gr,ca_gr,tloans_rgdp_gr,cpi,rgdpmad,net_sentiment_dm,P_pos_dm,P_neg_dm,net_sentiment_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm,crisisjst,year,iso
0.04157650351849784,0.0623077055718273,0.06167390839303821,-0.31782117817900624,0.03036982594435278,131.13252904132696,23406.98027019085,0.010791913043478256,-0.0009833913043478248,-0.011775217391304355,0.10999382608695653,0.036690478260869575,-0.07330226086956523,0.0,2003,CAN
0.08389729564165482,0.07153904838758307,0.06426151856629203,1.0741078876333514,0.05919339526085676,133.54606598256956,23952.908626048556,0.11843691304347825,0.007788608695652177,-0.11064821739130434,0.007247826086956524,-0.004554521739130402,-0.011802260869565234,0.0,2004,CAN
0.08453222932714355,0.0791174166518791,0.060025947100194266,-0.08671912369699641,0.06099230993053162,136.52501639021645,24484.344653524106,-0.008450086956521746,-0.042967391304347846,-0.03451721739130434,0.11489282608695651,0.0042174782608696,-0.11067526086956522,0.0,2005,CAN
0.08368344436083719,0.07587163948036513,0.09292486253198806,-0.17920411883123488,0.06272684948966334,139.27933300534156,24967.16720744424,0.046022913043478254,0.013847608695652158,-0.032175217391304356,-0.011994173913043478,-0.04653852173913042,-0.03454426086956522,0.0,2006,CAN
0.10921890046424187,0.09275441199495993,0.06878916390504486,-0.47914075821269997,0.09462300248151867,142.24679645768902,25300.08385970836,-0.0018030869565217461,-0.022770391304347826,-0.02096721739130436,0.04247882608695652,0.010276478260869581,-0.032202260869565236,0.0,2007,CAN
0.08812743996829542,0.05804480651731159,0.1386784743876397,-0.6435934972184141,0.08976478348314454,145.63927725611464,25262.071135439157,-0.14021208695652174,-0.06998039130434786,0.07023178260869567,-0.005347173913043478,-0.026341521739130402,-0.02099426086956524,0.0,2008,CAN
0.020996594738919017,-0.010319483203634627,0.09202495853269,-11.965713313325288,0.05876055703941452,146.0757815574922,24361.021416833475,-0.04346908695652174,0.0068016086956521615,0.050269782608695635,-0.14375617391304346,-0.07355152173913043,0.07020473913043479,0.0,2009,CAN
0.07009664350220901,0.09629212128715303,0.05480690536568833,0.3641355146730487,0.045202717368604484,148.66034649985934,24941.23562562982,-0.040907086956521746,0.006983608695652177,0.04789078260869567,-0.04701317391304348,0.003230478260869585,0.050242739130434755,0.0,2010,CAN
0.09605822099452666,0.12057819237615774,0.06430470897716556,-0.12751591762574122,0.07326173088379839,152.95774411020514,25470.997020197392,0.011246913043478253,0.019480608695652157,0.008233782608695644,-0.04445117391304348,0.0034124782608696003,0.04786373913043479,0.0,2011,CAN
0.06931062816747002,0.135967778931122,0.05493836581884137,0.26541281016721996,0.062031501681644396,155.2972540061849,25645.574336158857,-0.02767808695652174,-0.01151939130434787,0.01615878260869566,0.007702826086956521,0.01590947826086958,0.008206739130434765,0.0,2012,CAN
0.05525169935473229,0.01661262550777387,0.06899445286981876,-0.03801424569456402,0.04221614987335065,156.7331234186111,25966.337119654458,0.06359291304347825,0.04559160869565215,-0.018001217391304336,-0.031222173913043473,-0.015090521739130447,0.01613173913043478,0.0,2013,CAN
