tloans_gr,tmort_gr,money_gr,ca_gr,tloans_rgdp_gr,cpi,rgdpmad,net_sentiment_dm,P_pos_dm,P_neg_dm,net_sentiment_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm
0.24576743,1.4375213,0.17336106,0.03322529,-0.48365277,0.82744294,-0.16275397,0.03963799,1.0372316,0.45733792,0.44608286,0.9832568,0.37553036
-2.0327446,0.28027967,-0.37800068,-0.36575973,-0.7350642,0.62797153,-0.1028819,-0.047892004,0.6674208,-1.2619412,-0.92781425,-0.7717102,-0.54334456
-2.295539,0.2452262,-0.3139871,-0.6091552,-1.371712,0.8024698,-0.24662018,-0.05141334,-1.0361316,0.18122268,0.08576664,-0.4246851,0.3740303
-2.4864872,0.22637802,-0.0694465,-1.1217169,-1.6548876,0.6796344,-0.24763991,-0.041835327,-1.0848796,0.009778075,0.010557722,0.51373035,-0.3641546
-2.5706108,0.258743,-0.111859776,-0.45508137,-1.8169571,-0.7100981,-0.29551783,-0.05961342,0.70682186,-0.03344417,0.084040806,0.56566834,-0.35889775
-2.366004,0.15264156,-0.40816006,-0.30388647,-1.4298354,-0.7100981,-0.2950627,-0.05961342,0.65698683,-0.04126647,-1.0725843,-0.5875856,-0.42575136
-2.1877458,-0.074666955,-0.07216587,-0.8139882,-1.6420325,-0.7341719,-0.32730225,-0.05863606,-0.95640767,-0.051122405,-0.65342826,-0.40230665,-0.32348448
-2.400601,0.23335534,0.09794982,-0.44578367,-1.2889491,-0.73291475,-0.27852008,-0.088431716,0.11670781,-0.07886987,0.23340365,-0.8216005,-0.2829153
0.07114279,0.39341733,-0.13160706,-0.5236008,-1.4756762,-0.7367733,-0.35870293,-0.06413021,0.73060286,0.093582556,-0.9142621,-0.9728316,-0.43907073
0.02371907,-0.12107281,-0.44669187,-0.6101191,-1.1647243,-0.73314416,-0.35732296,-0.06413021,-0.61981684,0.052707687,-1.0536857,-0.6761379,-0.31089336
0.017152552,-0.3192392,-0.4721066,-0.51784605,-1.2042824,-0.717424,-0.37218735,-0.05720582,0.12300383,0.021506025,-0.9161015,-1.0308039,-0.35224345
0.10553822,-2.6162875,-0.33720154,-0.33349204,-0.84106284,-0.67934847,-0.42763516,-0.062466428,-0.8719472,-0.009591261,-0.9668621,-0.5006424,-0.3304871
0.07275,0.15170309,0.08203071,-0.92966753,1.1305944,-0.5739536,-0.44635016,0.0032390999,-0.9483127,-1.1618189,-0.8358901,-0.76541567,0.14308019
0.44800475,0.09504838,-0.045914598,-0.8704861,1.0240079,-1.2769719,-0.42725652,-0.07498006,-0.52495545,-1.0765743,-0.40274328,-0.7455258,-0.34046438
0.23686615,0.019524934,-1.1244633,-0.73480207,0.8786501,-1.1319908,-0.3839934,-0.10654935,-0.78821117,-1.3480119,-0.741641,-0.7597572,0.081645414
0.17893742,-2.2457328,-0.5331712,-0.7956038,0.46357673,-0.44665813,-0.1387749,0.0313394,-0.9775013,-1.1005061,-0.32165718,-0.4809151,-0.23886679
0.2421744,-3.5832982,-0.058569044,-0.81137997,0.39112923,-0.16066903,-0.11526606,-0.0012050602,-0.04164226,0.53554475,0.112814344,0.0736895,-1.1504014
0.28439456,-3.2256196,-0.5040849,-0.75540537,0.4296203,0.040426645,0.30489123,-0.42113465,0.59192747,0.6814385,-0.97014254,-0.45034423,-0.030215349
0.7654635,0.32536286,0.27823254,1.775156,1.4358613,0.5947657,0.24282363,0.05399344,-0.23964652,0.8354132,-0.31603444,-0.23891151,0.07516863
-2.2011492,-0.014131164,-0.91262734,-0.8431651,0.6681001,0.5518853,-0.20952079,0.06802523,-0.2238077,0.09074736,-0.6031656,-0.78449035,-0.2938107
-2.4714513,-0.1478954,-0.3979133,0.15543918,-1.5925645,0.6727708,-0.2483653,0.06293519,-0.5279091,0.5861561,0.098633155,0.07007942,-0.12698756
-2.1492715,0.15148354,-0.3337966,-0.6577903,-1.3938901,0.6752721,-0.12884365,-0.041457556,-0.891557,0.5199399,-0.8911352,-0.8315203,-0.09894159
-2.620013,0.2651927,0.14633349,-0.49546087,-2.0196865,-0.76481164,-0.33670062,0.01972842,0.044466194,0.63669413,0.09530513,0.13747391,-0.029347727
-2.300253,0.20123854,-0.3337966,-0.836061,-1.2850724,-0.77095956,-0.29480258,-0.06924479,-0.94092256,0.13772136,-0.65342826,-0.6184944,-0.18094335
-1.8744869,0.25548914,-0.062672324,-1.1669046,-1.8435895,-0.5679984,-0.33319804,-0.065222956,-0.89758605,-1.1247774,-0.027275618,0.15281221,-0.25403613
-2.4380963,0.20018512,-0.15968302,-0.11393509,-1.8277903,-0.7650464,-0.31811488,-0.012553353,0.68748593,0.2695545,0.11780757,-0.7080943,0.18825814
-1.7351638,0.15991929,-0.056518376,-0.59164774,-1.5380557,-0.5783259,0.15780975,0.01878919,-0.8798173,-0.95772517,-0.84100246,-0.42167297,-0.33483618
-1.5788513,0.23167896,-0.079085015,-0.5317107,-1.6309271,-0.644912,-0.5661135,0.009370546,-0.80709225,-0.9927874,0.09816639,0.41855842,-0.65721756
-1.2755575,-0.07618173,-0.35558784,-0.44766638,-1.0165893,-0.66006744,-0.5522778,0.044462595,-0.9574323,-0.7676046,0.13759439,-0.5373205,-0.69227165
-1.5794706,-0.15594861,-0.089327015,-0.73404175,-1.4915621,-0.63913023,-0.56220186,-0.06518656,-0.5410635,-1.0236683,0.07343217,0.32907295,-0.41084605
-1.6291555,-0.098246045,0.090949975,-0.22473158,-1.1458722,-0.838636,-0.6738754,-0.11657047,0.09440544,-0.063419186,0.015595638,-0.7238124,-0.8699341
0.25577825,-3.3352323,0.09612822,-0.5322584,0.53897023,-0.24499667,0.1764316,-0.10723077,-0.7200257,-1.2189215,-0.0035771402,0.07991507,-0.25190303
0.23376952,-3.1263006,0.10475449,-0.7232823,0.63659155,-0.33236885,0.21867183,0.007548292,0.614568,-0.7892079,-0.14299618,-0.5115675,-0.3693482
0.22044529,-2.5234568,-0.56695,-0.7334484,0.49023175,-0.32363638,0.20755902,-0.08049326,-0.7921677,-0.8507443,0.06486116,-0.27411568,-0.434275
0.2295234,-2.43362,-0.5591311,-0.8601081,0.45701045,-0.2852937,0.18379992,0.026078258,-1.0341773,-0.753227,-0.13744336,-0.4628332,-0.39306316
0.29515716,-2.878315,-0.5642966,-0.5914584,0.12374495,-0.43289214,0.34238696,0.034741223,-0.14018892,-0.009002026,0.10788308,0.22094792,-0.88138676
0.81670475,0.55987084,0.23722425,-0.09569883,1.4005531,-0.19331196,0.43932062,-0.12935206,0.868201,0.81186277,0.37364173,0.24994808,0.01686671
-2.3530588,0.18934274,-0.39113426,-0.4899407,-0.9640105,-0.36565396,0.02119478,-0.17175627,-0.78755367,0.49525708,-0.9658136,-0.89199877,-0.0852751
-2.0705078,0.7898714,-0.42833582,-0.3067697,-1.1044276,-0.3995474,-0.015100105,-0.17568117,-0.7750749,0.13113958,-0.97057205,-0.94006836,-0.23809825
-2.20993,0.7972617,-0.40162638,-0.6717664,-1.0289328,-0.5551699,0.015836677,-0.05268903,0.039573576,-0.09656035,-1.0231124,-0.85352844,-0.27811614
-2.419468,0.7956251,-0.4039182,-0.43535876,-1.0937185,-0.6028778,-0.010423861,-0.021269573,-0.63438416,-0.039156675,-0.98883337,-0.60875607,-0.36749247
-2.1619735,0.7549608,-0.3888255,0.8636011,-1.350578,-0.37533566,0.0715574,-0.14174645,-0.512042,-0.7477416,-0.39103228,-0.574645,-0.38162267
-2.1470406,0.7944871,-0.41679358,-0.8374357,-1.074269,-0.43877017,0.08093734,-0.079371765,0.03481178,-0.8292773,-0.81087536,-0.43524408,0.2079741
-2.2566507,0.7060883,-0.043562904,-0.8679925,-1.4784008,-0.59595954,-0.006938854,0.040862594,-0.13944688,0.24610607,-0.055039857,-0.67956144,-0.66644806
-2.7707644,0.9801158,-0.1006301,-0.936589,-1.8177745,-0.5876318,0.05107797,-0.045484073,0.58160913,-0.07341077,0.2446879,0.24003932,-0.30643028
0.18502505,-2.6192682,-0.48973033,-0.5679993,0.5195314,-0.83482826,-0.22636619,0.030339874,-0.73513126,-0.98520446,-0.45075113,-0.32549047,-0.29450056
0.28157648,-3.4804728,-0.04732769,-0.64899164,0.5586636,-1.0604334,-0.17927209,0.01946426,-0.88003355,0.58894706,-0.90984213,-0.44926193,-0.12917468
0.24232519,-2.8059022,-0.49044368,-0.8378809,0.13757873,-1.0976697,-0.23667927,0.03290148,-0.07462584,-0.12389201,-0.6496135,-0.33143264,-0.25536484
0.22567216,-3.5027003,0.040534705,-0.2970009,0.4146536,-1.1113747,-0.1659418,-0.029167235,-0.8322927,-0.040523812,0.28331494,0.051936783,-0.0807724
