tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_dm,P_neg_lag1_dm,P_neutral_lag1_dm,net_sentiment_lag1_dm,P_pos_lag2_dm,P_neg_lag2_dm,P_neutral_lag2_dm,net_sentiment_lag2_dm
0.058700513,-0.021046415,-0.3303334,0.107909165,-0.1947904,0.29232484,-0.05519662,0.047172815,0.19982475,0.024309665,-0.4473946,-0.58408207,1.0086914,-0.7135362,-0.029040206,-0.08815675,0.0503655,-0.053553864,-0.07678856,0.062131945,-0.9819868,0.073550135,-0.00039946148,0.035531867,-0.07968642,-0.12628372,-0.044329427,0.017386533,0.00048814924,0.432575,-0.05052907,-3.3927214,0.06763203,-0.12683962,0.3194311,-0.006436718,-0.37453565,-0.1960325,0.010509208,-0.17637305,-0.06346825,0.010633752,-0.02099342,-0.00998861,-0.016817067,0.00016280764
0.051235422,-0.011069604,-0.35544562,-0.08725891,0.032260682,0.15748547,-0.04050633,-0.00016119471,0.1537644,-0.023595087,-0.41603002,-0.346518,-1.3961862,-0.34412438,-0.006881626,-0.17495437,0.04924481,0.046386015,-0.114870034,0.04262781,0.015593385,0.054639876,-0.008396367,0.005636961,-0.07046726,-0.23997973,0.06280736,0.042897608,-0.0016639752,-1.559873,0.02898559,-2.0506842,0.06751802,-0.07753655,-0.80437577,-0.004081324,-0.3728222,-0.1058006,-0.026404103,0.14264692,-0.041133385,-0.023622354,-0.01690428,0.008083706,-0.011000039,-0.0027818463
0.05237725,-0.026980279,-0.540835,0.09995148,0.034479305,0.2308843,-0.0018798201,0.040729288,-0.3469065,-0.04997701,0.21159862,-0.37043723,-1.3094686,-0.53553766,-0.027374955,-0.26150456,0.07579447,0.011556773,-0.2272292,0.084314406,0.1824643,0.055250846,0.0010173538,0.0033771768,-0.020338852,-0.30739856,0.0018067812,0.037857596,-0.0028612115,-2.4735608,0.012013237,0.8067152,0.06514686,-0.08265026,-1.2787437,0.013835809,-0.36643973,-0.0019814202,0.011954801,-0.20041971,-0.044749025,0.008494415,-0.011587426,0.009336265,-0.024536356,0.002635268
0.05203065,-0.011069604,-0.540835,-0.13900034,-0.23391356,0.27285182,-0.13160472,0.042429548,0.31357878,-0.051709887,0.22009867,-0.37560117,-1.4474585,-0.53478396,-0.021168394,-0.21625173,0.07579447,0.011556773,-0.2322006,-0.20378584,0.050662592,0.050222464,-0.009146975,0.0033771768,0.01143063,-0.3068864,-0.010497102,0.037857596,-0.0028612115,-2.229389,0.028218066,0.8552774,0.06514686,-0.092555076,-1.2792095,0.019684115,-0.3328565,0.080347106,0.003988809,0.15182021,-0.031056331,0.013849091,-0.028874313,-0.013836315,0.008486401,-0.0014861496
0.052795675,-0.011069604,-0.5404373,-0.13797928,-0.23391356,0.15523103,-0.13721907,0.032771435,0.31303594,-0.01859958,-0.40713406,-0.3854207,-1.3077677,-0.51853114,-0.023701949,-0.18388693,0.07579447,0.011556773,-0.17785117,-0.20378584,-0.021270718,0.053554185,-0.0194418,0.0033771768,-0.025991954,-0.20621893,-0.010954217,0.037857596,-0.0028612115,-2.1786892,0.013816588,0.5742334,0.071365155,-0.09290692,-1.2950934,0.014149514,-0.3328565,-0.09985535,0.009834848,0.15632461,-0.03631693,-0.023622354,-0.019327952,0.010405556,0.011567234,-0.0014861496
0.053142276,-0.011069604,-0.52379614,-0.13683157,-0.23391356,0.14747277,-0.51682216,0.029514305,0.39170036,-0.019110475,-0.4248472,-0.39208624,-1.1598766,-0.46207452,-0.044111997,-0.16077827,0.07579447,0.011556773,-0.17785117,-0.20378584,-0.19014582,0.048388913,-0.01611865,0.0033771768,-0.020338852,-0.2105518,0.0018067812,0.037857596,-0.0028612115,-2.138008,0.0036337033,0.8206779,0.07181524,-0.09157367,-0.9457373,-0.006007993,-0.32097927,-0.09985535,0.011954801,-0.09370909,-0.025223963,-0.019246042,-0.011587426,0.010405556,0.012350521,0.002635268
0.05237725,-0.011069604,-0.52379614,-0.13572727,-0.23391356,0.15736918,-0.5252956,0.029514305,0.3205901,-0.05222078,-0.24584511,-0.3648835,-1.1478325,-0.4079814,-0.044111997,-0.17712393,0.07579447,0.011556773,-0.2140811,-0.20378584,-0.22294359,0.049655795,-0.01611865,0.0033771768,-0.020338852,-0.29900044,0.0018067812,0.037857596,-0.0028612115,-2.1835406,-0.000104243634,0.7040497,0.061219066,-0.1476147,-0.9384841,0.011127723,-0.3328565,0.06887794,0.009834848,0.112951234,-0.044749025,-0.022915857,-0.011384934,-0.011353863,-0.020657906,0.00022272847
0.05203065,-0.011069604,-0.52379614,-0.13652618,-0.23391356,0.15011604,-0.5252956,0.029514305,0.31747934,-0.05222078,-0.24584511,-0.3648835,-1.1581272,-0.40686256,-0.021282624,-0.2018092,0.07579447,0.011556773,-0.2322006,-0.20378584,-0.2348787,0.05656379,-0.0194418,0.0033771768,-0.020338852,-0.3002067,-0.010863694,0.037857596,-0.0028612115,-2.177839,0.0036337033,0.70742136,0.061219066,-0.14065258,-0.9457373,0.011127723,-0.3328565,0.06887794,0.009834848,0.10613823,-0.044749025,-0.022915857,-0.011384934,0.010405556,0.012350521,0.002635268
0.052795675,-0.011069604,-0.52379614,-0.13687499,-0.23391356,0.16032147,-0.5252956,0.029514305,0.30964053,-0.019110475,-0.44498298,-0.37870002,-1.1242703,-0.39582524,-0.043612704,-0.16953501,0.07579447,0.011556773,-0.2322006,-0.20378584,-0.23050989,0.036397148,-0.01611865,0.0033771768,-0.020338852,-0.20743749,-0.010497102,0.037857596,-0.0028612115,-2.139709,0.0036337033,0.6815684,0.050649013,-0.14065258,-0.94240296,-0.006007993,-0.3328565,0.06887794,0.009834848,0.112951234,0.11668242,-0.023622354,-0.028671825,-0.011353863,0.012350521,0.00022272847
0.053142276,-0.026980279,-0.5042952,-0.13607608,-0.23391356,0.15306835,-0.5135933,0.029514305,-0.2759051,-0.019110475,-0.44498298,-0.37557173,-1.0567745,-0.4111281,-0.02543623,-0.2141338,0.07579447,0.011556773,-0.2322006,-0.20378584,-0.23776303,0.029489148,-0.009959185,0.0033771768,0.01143063,-0.20864376,0.0021733742,0.037857596,-0.0028612115,-2.1220882,-0.0017205086,0.57471025,0.050649013,-0.12918203,-0.9491159,-0.006007993,-0.3328565,0.06887794,0.009834848,0.1802333,-0.032178495,-0.023622354,-0.028671825,0.010405556,0.013706487,0.002635268
